"Bank nomi (o'zbek tilida, to'liq)","Logotip fayli"
"""Agrobank"" aksiyadorlik tijorat banki","Agrobank.svg"
"Aksiyadorlik tijorat ""Aloqabank""","Aloqabank.svg"
"""ANOR BANK"" aksiyadorlik jamiyati","Anorbank.svg"
"""APEX BANK"" aksiyadorlik jamiyati","Apexbank.svg"
"""Asaka"" aksiyadorlik jamiyati","Asakabank.svg"
"""ASIA ALLIANCE BANK"" aksiyadorlik tijorat banki","Asia Alliance Bank.svg"
"""AVO BANK"" aksiyadorlik jamiyati","Avobank.svg"
"""Biznesni rivojlantirish banki"" aksiyadorlik tijorat banki","BRB bank.svg"
"""Davr-bank"" xususiy aksiyadorlik tijorat banki","Davrbank.svg"
"""Garant bank"" aksiyadorlik jamiyati","Garant Bank.svg"
"Chet el kapitali ishtirokidagi ""Hamkorbank"" aksiyadorlik tijorat banki","Hamkorbank.svg"
"Chet el kapitali ishtirokidagi ""Hamkorbank"" aksiyadorlik tijorat banki (eski logotip)","Hamkorbank Old.svg"
"""HAYOT BANK"" aksiyadorlik jamiyati","Hayotbank.svg"
"""HI-TECH BANK"" xususiy aksiyadorlik tijorat banki (litsenziyasi 2022-yilda bekor qilingan)","Hi-Tech Bank.svg"
"""Invest Finance Bank"" aksiyadorlik jamiyati","Infinbank.svg"
"""Ipak Yo'li"" aksiyadorlik innovatsiya tijorat banki","Ipak Yuli Bank.svg"
"""Ipoteka-bank"" aksiyadorlik tijorat ipoteka banki","Ipoteka bank.svg"
"""Kapitalbank"" aksiyadorlik tijorat banki","Kapitalbank.svg"
"""KDB Bank O'zbekiston"" aksiyadorlik jamiyati","KDB Bank.svg"
"""Mikrokreditbank"" aksiyadorlik-tijorat banki","MKbank.svg"
"""Madad Invest Bank"" aksiyadorlik tijorat banki (savdo nomi: Mybank)","Mybank.svg"
"""O'zbekiston Respublikasi Tashqi iqtisodiy faoliyat milliy banki"" aksiyadorlik jamiyati","NBU.svg"
"""Octobank"" aksiyadorlik jamiyati","Octobank.svg"
"""Open bank"" aksiyadorlik jamiyati","Openbank.svg"
"""Orient Finans"" xususiy aksiyadorlik tijorat banki","OrientFinanceBank.svg"
"""Poytaxt bank"" aksiyadorlik jamiyati","Poytaxtbank.svg"
"""SODEROT"" bank aksiyadorlik jamiyati","Saderat Bank.svg"
"""SMART BANK"" aksiyadorlik jamiyati (2025-yildan ""Open Bank"" deb qayta nomlangan)","Smartbank.svg"
"""O'zbekiston sanoat-qurilish banki"" aksiyadorlik tijorat banki","SQB.svg"
"""TBC Bank"" aksiyadorlik tijorat banki","TBC Bank.svg"
"""Tenge Bank"" aksiyadorlik tijorat banki","Tenge Bank.svg"
"""Trastbank"" xususiy aksiyadorlik banki","Trastbank.svg"
"""Turkiston"" xususiy aksiyadorlik-tijorat banki (litsenziyasi 2022-yilda bekor qilingan)","Turkiston Bank.svg"
"""Turonbank"" aksiyadorlik tijorat banki","Turonbank.svg"
"""Universal bank"" aksiyadorlik tijorat banki","Universalbank.svg"
"""UZUM BANK"" aksiyadorlik jamiyati","Uzumbank.svg"
"O'zbekiston Respublikasi aksiyadorlik tijorat Xalqbanki","Xalqbank.svg"
"""Yangi bank"" aksiyadorlik jamiyati (litsenziyasi 2026-yil yanvarda bekor qilingan, tugatilmoqda)","Yangibank.svg"
"""Ziraat Bank Uzbekistan"" aksiyadorlik jamiyati","Ziraat Bank.svg"
